frequency	e'	e''
1000000000.0000	  51.7147	   2.4143
1008000000.0000	  51.5590	   2.3956
1016000000.0000	  51.6747	   2.3536
1024000000.0000	  51.9698	   2.2789
1032000000.0000	  52.2201	   2.1776
1040000000.0000	  52.4165	   2.0580
1048000000.0000	  52.5458	   1.9929
1056000000.0000	  52.6380	   2.0032
1064000000.0000	  52.6398	   2.0531
1072000000.0000	  52.6507	   2.1122
1080000000.0000	  52.7520	   2.1759
1088000000.0000	  52.9359	   2.2205
1096000000.0000	  53.2057	   2.2653
1104000000.0000	  53.4067	   2.2908
1112000000.0000	  53.5846	   2.3199
1120000000.0000	  53.7545	   2.3217
1128000000.0000	  53.9015	   2.3311
1136000000.0000	  53.9061	   2.3349
1144000000.0000	  53.8131	   2.3383
1152000000.0000	  53.6833	   2.3201
1160000000.0000	  53.5313	   2.3355
1168000000.0000	  53.3339	   2.3391
1176000000.0000	  53.1226	   2.3375
1184000000.0000	  52.8658	   2.3195
1192000000.0000	  52.5309	   2.2985
1200000000.0000	  52.2617	   2.2692
1208000000.0000	  52.2375	   2.2561
1216000000.0000	  52.2187	   2.2387
1224000000.0000	  52.0750	   2.1858
1232000000.0000	  52.0570	   2.1567
1240000000.0000	  52.2333	   2.1440
1248000000.0000	  52.4633	   2.1439
1256000000.0000	  52.6400	   2.1600
1264000000.0000	  52.7985	   2.2029
1272000000.0000	  52.9548	   2.2653
1280000000.0000	  53.1537	   2.3546
1288000000.0000	  53.4266	   2.4491
1296000000.0000	  53.7581	   2.5517
1304000000.0000	  54.0641	   2.6398
1312000000.0000	  54.3152	   2.7284
1320000000.0000	  54.6086	   2.8048
1328000000.0000	  54.9920	   2.8759
1336000000.0000	  55.3712	   2.9314
1344000000.0000	  55.5969	   2.9701
1352000000.0000	  55.7365	   2.9913
1360000000.0000	  55.8375	   3.0140
1368000000.0000	  55.9115	   3.0110
1376000000.0000	  55.9308	   3.0160
1384000000.0000	  55.9373	   3.0121
1392000000.0000	  55.9074	   2.9895
