frequency	e'	e''
1000000000.0000	   2.2249	   0.0682
1008000000.0000	   2.2246	   0.0581
1016000000.0000	   2.2168	   0.0564
1024000000.0000	   2.2134	   0.0623
1032000000.0000	   2.2068	   0.0564
1040000000.0000	   2.2097	   0.0642
1048000000.0000	   2.2142	   0.0653
1056000000.0000	   2.2183	   0.0711
1064000000.0000	   2.2304	   0.0687
1072000000.0000	   2.2351	   0.0727
1080000000.0000	   2.2515	   0.0720
1088000000.0000	   2.2623	   0.0703
1096000000.0000	   2.2715	   0.0667
1104000000.0000	   2.2862	   0.0614
1112000000.0000	   2.2863	   0.0615
1120000000.0000	   2.2893	   0.0656
1128000000.0000	   2.2967	   0.0675
1136000000.0000	   2.2978	   0.0681
1144000000.0000	   2.3000	   0.0709
1152000000.0000	   2.3064	   0.0647
1160000000.0000	   2.3258	   0.0689
1168000000.0000	   2.3352	   0.0745
1176000000.0000	   2.3640	   0.0732
1184000000.0000	   2.3838	   0.0667
1192000000.0000	   2.3993	   0.0682
1200000000.0000	   2.4204	   0.0686
1208000000.0000	   2.4447	   0.0704
1216000000.0000	   2.4596	   0.0601
1224000000.0000	   2.4989	   0.0593
1232000000.0000	   2.5322	   0.0647
1240000000.0000	   2.5685	   0.0656
1248000000.0000	   2.6196	   0.0712
1256000000.0000	   2.6679	   0.0684
1264000000.0000	   2.7187	   0.0656
1272000000.0000	   2.7729	   0.0735
1280000000.0000	   2.8080	   0.0678
1288000000.0000	   2.8415	   0.0655
1296000000.0000	   2.8670	   0.0645
1304000000.0000	   2.8867	   0.0617
1312000000.0000	   2.9108	   0.0562
1320000000.0000	   2.9179	   0.0642
1328000000.0000	   2.9329	   0.0609
1336000000.0000	   2.9430	   0.0668
1344000000.0000	   2.9578	   0.0633
1352000000.0000	   2.9675	   0.0632
1360000000.0000	   2.9764	   0.0656
1368000000.0000	   2.9916	   0.0656
1376000000.0000	   2.9965	   0.0597
1384000000.0000	   3.0064	   0.0594
1392000000.0000	   3.0116	   0.0588
1400000000.0000	   3.0238	   0.0595
1408000000.0000	   3.0283	   0.0602
1416000000.0000	   3.0318	   0.0599
1424000000.0000	   3.0320	   0.0655
1432000000.0000	   3.0343	   0.0687
1440000000.0000	   3.0377	   0.0682
1448000000.0000	   3.0393	   0.0636
1456000000.0000	   3.0457	   0.0666
1464000000.0000	   3.0455	   0.0590
1472000000.0000	   3.0510	   0.0575
1480000000.0000	   3.0617	   0.0551
1488000000.0000	   3.0714	   0.0514
1496000000.0000	   3.0776	   0.0454
1504000000.0000	   3.0979	   0.0467
1512000000.0000	   3.1007	   0.0452
1520000000.0000	   3.1082	   0.0502
1528000000.0000	   3.1132	   0.0534
1536000000.0000	   3.1216	   0.0525
1544000000.0000	   3.1246	   0.0534
1552000000.0000	   3.1229	   0.0534
1560000000.0000	   3.1172	   0.0561
1568000000.0000	   3.0978	   0.0531
1576000000.0000	   3.0575	   0.0536
1584000000.0000	   3.0147	   0.0610
1592000000.0000	   2.9459	   0.0614
1600000000.0000	   2.8696	   0.0646
1608000000.0000	   2.7991	   0.0736
1616000000.0000	   2.7309	   0.0691
1624000000.0000	   2.6616	   0.0765
1632000000.0000	   2.6072	   0.0738
